t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft
18000,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
18600,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
19200,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
19800,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
20400,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
21000,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
21600,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
22200,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
22800,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
23400,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
24000,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
24600,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.005,-82.92861,1900.0
25200,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.4165,-82.6093,8000.0
25800,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.4165,-82.6093,8000.0
26400,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.4165,-82.6093,8000.0
27000,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,39.44368474347494,-82.22049999999994,26984.082545699202,42.4165,-82.6093,8000.0
27600,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,41.673,-82.9405,16984.082545699202,42.4165,-82.6093,8000.0
28200,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,41.673,-82.9405,16984.082545699202,42.4165,-82.6093,8000.0
28800,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,41.673,-82.9405,16984.082545699202,42.4165,-82.6093,8000.0
29400,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,39.47186692549864,-82.14000999771017,31000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,41.673,-82.9405,16984.082545699202,42.4165,-82.6093,8000.0
30000,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,41.7483,-82.79720000000007,21000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,41.673,-82.9405,16984.082545699202,42.4165,-82.6093,8000.0
30600,39.408821847175155,-82.29519278464454,33000.0,40.36649226258391,-85.71450803175537,33000.0,41.7483,-82.7972,21000.0,41.673,-82.9405,26000.0,41.673,-82.9405,14000.0,40.6947496150193,-80.76986752805503,30000.0,42.51440867084101,-80.36900690435426,30913.210603268748,42.50205246442259,-80.36762424009582,31982.697781139683,42.500316893113045,-80.3675389087731,30000.0,42.9280038324637,-86.26321046360388,23000.0,43.335463038667235,-86.13405145303786,31000.0,40.51306,-85.68528,29000.0,43.45778,-84.01639,3900.0,44.99942652085821,-84.45890211131832,11100.0,43.08023501885609,-80.48179275878633,30600.754166188017,39.39689375178773,-82.32856757995995,34042.42499284907,44.42189342998673,-85.3777786185346,21000.0,39.4128779144852,-82.28383496039737,35000.0,41.673,-82.9405,16984.082545699202,42.4165,-82.6093,8000.0
